Freq.	V(filtroout)
2.34422881531991e+02	9.95962953384975e-01,-8.99093062274511e-02
2.39883291901948e+02	9.95772809778633e-01,-9.19979847896855e-02
2.45470891568502e+02	9.95573716205126e-01,-9.41349161830647e-02
2.51188643150957e+02	9.95365251947728e-01,-9.63211958679218e-02
2.57039578276885e+02	9.95146976566250e-01,-9.85579427864580e-02
2.63026799189537e+02	9.94918428977548e-01,-1.00846299764562e-01
2.69153480392690e+02	9.94679126493665e-01,-1.03187433912657e-01
2.75422870333816e+02	9.94428563815700e-01,-1.05582537024806e-01
2.81838293126444e+02	9.94166211981424e-01,-1.08032825975278e-01
2.88403150312659e+02	9.93891517264571e-01,-1.10539543111635e-01
2.95120922666637e+02	9.93603900023650e-01,-1.13103956643398e-01
3.01995172040200e+02	9.93302753498033e-01,-1.15727361025198e-01
3.09029543251358e+02	9.92987442548980e-01,-1.18411077333268e-01
3.16227766016837e+02	9.92657302343169e-01,-1.21156453634005e-01
3.23593656929627e+02	9.92311636976200e-01,-1.23964865343248e-01
3.31131121482590e+02	9.91949718033423e-01,-1.26837715574783e-01
3.38844156139201e+02	9.91570783085378e-01,-1.29776435476468e-01
3.46736850452530e+02	9.91174034114955e-01,-1.32782484552258e-01
3.54813389233574e+02	9.90758635873355e-01,-1.35857350968226e-01
3.63078054770100e+02	9.90323714161740e-01,-1.39002551840573e-01
3.71535229097171e+02	9.89868354035394e-01,-1.42219633503424e-01
3.80189396320559e+02	9.89391597927069e-01,-1.45510171754032e-01
3.89045144994279e+02	9.88892443686083e-01,-1.48875772072853e-01
3.98107170553495e+02	9.88369842529581e-01,-1.52318069815717e-01
4.07380277804111e+02	9.87822696902285e-01,-1.55838730375132e-01
4.16869383470333e+02	9.87249858240879e-01,-1.59439449307515e-01
4.26579518801591e+02	9.86650124639074e-01,-1.63121952422895e-01
4.36515832240164e+02	9.86022238409243e-01,-1.66887995833382e-01
4.46683592150961e+02	9.85364883536389e-01,-1.70739365956395e-01
4.57088189614873e+02	9.84676683020060e-01,-1.74677879468351e-01
4.67735141287196e+02	9.83956196099687e-01,-1.78705383204192e-01
4.78630092322636e+02	9.83201915358677e-01,-1.82823753997770e-01
4.89778819368444e+02	9.82412263702476e-01,-1.87034898457757e-01
5.01187233627270e+02	9.81585591205626e-01,-1.91340752673331e-01
5.12861383991362e+02	9.80720171822751e-01,-1.95743281843479e-01
5.24807460249770e+02	9.79814199958240e-01,-2.00244479823294e-01
5.37031796370250e+02	9.78865786889292e-01,-2.04846368580182e-01
5.49540873857622e+02	9.77872957036805e-01,-2.09550997552331e-01
5.62341325190346e+02	9.76833644078525e-01,-2.14360442901312e-01
5.75439937337154e+02	9.75745686898736e-01,-2.19276806650011e-01
5.88843655355586e+02	9.74606825368626e-01,-2.24302215696539e-01
6.02559586074355e+02	9.73414695951418e-01,-2.29438820694045e-01
6.16595001861479e+02	9.72166827126256e-01,-2.34688794785654e-01
6.30957344480190e+02	9.70860634624711e-01,-2.40054332183009e-01
6.45654229034652e+02	9.69493416473790e-01,-2.45537646576051e-01
6.60693448007592e+02	9.68062347839250e-01,-2.51140969360832e-01
6.76082975391978e+02	9.66564475662972e-01,-2.56866547671215e-01
6.91830970918933e+02	9.64996713088246e-01,-2.62716642199345e-01
7.07945784384134e+02	9.63355833666728e-01,-2.68693524788716e-01
7.24435960074986e+02	9.61638465341023e-01,-2.74799475782564e-01
7.41310241300914e+02	9.59841084196837e-01,-2.81036781109116e-01
7.58577575029180e+02	9.57960007978855e-01,-2.87407729083971e-01
7.76247116628688e+02	9.55991389364645e-01,-2.93914606908568e-01
7.94328234724277e+02	9.53931208991156e-01,-3.00559696842243e-01
8.12830516164095e+02	9.51775268228626e-01,-3.07345272023919e-01
8.31763771102666e+02	9.49519181697115e-01,-3.14273591917808e-01
8.51138038202372e+02	9.47158369521278e-01,-3.21346897355885e-01
8.70963589956076e+02	9.44688049319486e-01,-3.28567405148026e-01
8.91250938133741e+02	9.42103227924017e-01,-3.35937302228841e-01
9.12010839355905e+02	9.39398692829705e-01,-3.43458739308206e-01
9.33254300796986e+02	9.36569003369237e-01,-3.51133823990362e-01
9.54992586021431e+02	9.33608481614166e-01,-3.58964613324178e-01
9.77237220955805e+02	9.30511203001803e-01,-3.66953105744839e-01
9.99999999999994e+02	9.27270986689258e-01,-3.75101232364638e-01
1.02329299228075e+03	9.23881385637306e-01,-3.83410847567947e-01
1.04712854805089e+03	9.20335676428216e-01,-3.91883718862620e-01
1.07151930523760e+03	9.16626848823383e-01,-4.00521515937123e-01
1.09647819614318e+03	9.12747595068554e-01,-4.09325798869599e-01
1.12201845430196e+03	9.08690298956511e-01,-4.18298005431786e-01
1.14815362149688e+03	9.04447024659513e-01,-4.27439437427307e-01
1.17489755493952e+03	9.00009505346410e-01,-4.36751246000183e-01
1.20226443461741e+03	8.95369131602354e-01,-4.46234415845726e-01
