Freq.	V(ampout)
5.49540873857621e-02	1.00123918056488e+00,1.62275303218577e-01
5.62341325190346e-02	1.00129747390747e+00,1.66054724781594e-01
5.75439937337153e-02	1.00135874748230e+00,1.69922147793408e-01
5.88843655355585e-02	1.00142264366150e+00,1.73879619723937e-01
6.02559586074354e-02	1.00148975849152e+00,1.77929235591663e-01
6.16595001861478e-02	1.00156009197235e+00,1.82073139030888e-01
6.30957344480189e-02	1.00163352489471e+00,1.86313523411493e-01
6.45654229034651e-02	1.00171065330505e+00,1.90652632990899e-01
6.60693448007592e-02	1.00179111957550e+00,1.95092764082955e-01
6.76082975391978e-02	1.00187563896179e+00,1.99636266248858e-01
6.91830970918932e-02	1.00196409225464e+00,2.04285543535502e-01
7.07945784384133e-02	1.00205636024475e+00,2.09043055710438e-01
7.24435960074985e-02	1.00215339660645e+00,2.13911319544271e-01
7.41310241300913e-02	1.00225496292114e+00,2.18892910128628e-01
7.58577575029179e-02	1.00236105918884e+00,2.23990462197519e-01
7.76247116628687e-02	1.00247240066528e+00,2.29206671509679e-01
7.94328234724276e-02	1.00258910655975e+00,2.34544296220748e-01
8.12830516164094e-02	1.00271105766296e+00,2.40006158331683e-01
8.31763771102666e-02	1.00283861160278e+00,2.45595145130394e-01
8.51138038202371e-02	1.00297248363495e+00,2.51314210704529e-01
8.70963589956075e-02	1.00311255455017e+00,2.57166377423767e-01
8.91250938133740e-02	1.00325918197632e+00,2.63154737549165e-01
9.12010839355904e-02	1.00341272354126e+00,2.69282454767966e-01
9.33254300796985e-02	1.00357365608215e+00,2.75552765848685e-01
9.54992586021430e-02	1.00374197959900e+00,2.81968982286030e-01
9.77237220955804e-02	1.00391840934753e+00,2.88534492018668e-01
9.99999999999993e-02	1.00410294532776e+00,2.95252761114804e-01
1.02329299228075e-01	1.00429606437683e+00,3.02127335581425e-01
1.04712854805089e-01	1.00449883937836e+00,3.09161843126112e-01
1.07151930523760e-01	1.00471055507660e+00,3.16359995047595e-01
1.09647819614318e-01	1.00493276119232e+00,3.23725588058555e-01
1.12201845430196e-01	1.00516510009766e+00,3.31262506267656e-01
1.14815362149687e-01	1.00540840625763e+00,3.38974723083661e-01
1.17489755493952e-01	1.00566315650940e+00,3.46866303238123e-01
1.20226443461740e-01	1.00592994689941e+00,3.54941404825019e-01
1.23026877081237e-01	1.00620925426483e+00,3.63204281370883e-01
1.25892541179416e-01	1.00650203227997e+00,3.71659283959139e-01
1.28824955169312e-01	1.00680851936340e+00,3.80310863412035e-01
1.31825673855640e-01	1.00712919235229e+00,3.89163572475972e-01
1.34896288259164e-01	1.00746488571167e+00,3.98222068074583e-01
1.38038426460287e-01	1.00781679153442e+00,4.07491113609254e-01
1.41253754462274e-01	1.00818490982056e+00,4.16975581293524e-01
1.44543977074592e-01	1.00857055187225e+00,4.26680454531530e-01
1.47910838816820e-01	1.00897431373596e+00,4.36610830381151e-01
1.51356124843620e-01	1.00939702987671e+00,4.46771921915516e-01
1.54881661891247e-01	1.00983941555023e+00,4.57169060909765e-01
1.58489319246110e-01	1.01030313968658e+00,4.67807700222879e-01
